Enron has proposed several options for resolving the credit risk issues and is working with DWR to	arrive	at a solution that is mutually agreeable to both sides and that might serve as a template for power purchase agreements	#email#	email_175841.txt	arrive	written	masc_written	1
Sequels: 45840 When you	arrive	at her door, she is flustered, but smiling. [SEP] Her dog scampers around at your feet as you wrap her into a tight hug. [SEP] “I missed you,” you admit, and you can feel her lips mold into a smirk where her head is pressed to your chest. [SEP] “I missed you, too,” she promises, breaking out of your hug and starting down the hall, pooch in tow. [SEP] “But right now, we have something more important to worry about.” [SEP] She stops in the middle of her bedroom, hands on her hips. [SEP] “I lost my diamond earring that I got for my birthday...just last night.” [SEP] You can’t help but laugh. [SEP] It’s a feat that only she would manage. [SEP] “We’ll find it,” you assure her. [SEP] But then, you’re not entirely sure how you’re supposed to find the sparkle of a diamond in the sunlight, when all 	#ficlets#	ficlets_1401.txt	arrive	written	masc_written	1
First, I have noticed that whereas I personally attend to your telephone calls and letters, when I try to contact you I am confronted by the impersonal, ever-changing, pre-recorded, faceless entity which your bank has become. [SEP] From now on I, like you, choose only to deal with a flesh and blood person. [SEP] My mortgage and loan repayments will, therefore and hereafter, no longer be automatic, but will	arrive	at your bank, by cheque, addressed personally and confidentially to an employee of your branch, whom you must nominate. [SEP] You will be aware that it is an offence under the Postal Act for any other person to open such an envelope. [SEP] Please find attached an Application Contact Status which I require your chosen employee to complete. [SEP] I am sorry it runs to eight pages, but in order that I know as much about him or her as your bank knows about me, there is no alternative.	#jokes#	jokes_jokes16.txt	arrive	written	masc_written	1
delicate fossils. [SEP] He managed to rig something up to protect the sample from the elements until you could	arrive	to make the positive identification. [SEP] IAN MALCOLM So, why am I here?	#movie-script#	movie-script_JurassicParkIV-Scene_5.txt	arrive	written	masc_written	1
unless it felt you would be an asset. [SEP] The three of them	arrive	at a large, tarp-covered square.	#movie-script#	movie-script_JurassicParkIV-Scene_5.txt	arrive	written	masc_written	1
[the horse and carriage quickly ride off] [the horse and carriage	arrive	at a dock] [Captain Hawkins stands silently on the dock facing out to	#movie-script#	movie-script_pirates.txt	arrive	written	masc_written	1
a letter to the King. [SEP] It's from *you*. [SEP] [horses and soldiers	arrive	to cut off the governor from fleeing from the dock]	#movie-script#	movie-script_pirates.txt	arrive	written	masc_written	1
ISLA CRUCES beach [Jack is the first to	arrive	back at the longboat on the beach]	#movie-script#	movie-script_pirates.txt	arrive	written	masc_written	1
Chefs and retailers around the country know they must be prepared to deal with customers who	arrive	with the aquarium's seafood card in hand. [SEP] But in a business in which 12-hour shifts are	#newspaper:newswire#	newspaper:newswire_NYTnewswire7.txt	arrive	written	masc_written	1
soon as our Delivery Team confirms your information, it will only take us one working day (24 hours) for your package to	arrive	at its designated destination. [SEP] For your information, the VAT & Shipping charges as well as processing fees have been paid by your colleague before your package was registered.	#spam#	spam_111381.txt	arrive	written	masc_written	1
Directly across the street from the wharf where passengers	arrive	from Hong Kong is the first surprise to greet visitors to Macau — the vast Jai-alai Palace, said to be the world’s most luxurious	#travel-guides#	travel-guides_WhereToHongKong.txt	arrive	written	masc_written	1
spoken in hotels and tourist destinations. [SEP] If you travel by train, you will	arrive	at the Guangzhou East Station, a large modern complex, which connects with the subway,	#travel-guides#	travel-guides_WhereToHongKong.txt	arrive	written	masc_written	1
